0,0.25,0.25,0.333333
0.1,0.252117,0.247952,0.333264
0.2,0.2543,0.245977,0.333056
0.3,0.256545,0.244079,0.33271
0.4,0.258847,0.24226,0.332227
0.5,0.261201,0.240524,0.331608
0.6,0.263603,0.238874,0.330856
0.7,0.266049,0.237312,0.329973
0.8,0.268532,0.235841,0.328961
0.9,0.271048,0.234463,0.327823
1,0.273591,0.233179,0.326563
1.1,0.276156,0.231993,0.325185
1.2,0.278736,0.230905,0.323692
1.3,0.281326,0.229917,0.32209
1.4,0.28392,0.229031,0.320382
1.5,0.286512,0.228247,0.318574
1.6,0.289094,0.227567,0.316672
1.7,0.291661,0.226992,0.31468
1.8,0.294207,0.226523,0.312604
1.9,0.296724,0.226159,0.31045
2,0.299207,0.225902,0.308224
2.1,0.301648,0.225752,0.305933
2.2,0.304042,0.225709,0.303583
2.3,0.306382,0.225773,0.301179
2.4,0.308661,0.225943,0.298729
2.5,0.310873,0.226221,0.296239
2.6,0.313012,0.226605,0.293716
2.7,0.315072,0.227096,0.291166
2.8,0.317047,0.227691,0.288595
2.9,0.318932,0.228391,0.28601
3,0.320721,0.229194,0.283418
3.1,0.322409,0.2301,0.280824
3.2,0.32399,0.231108,0.278236
3.3,0.325461,0.232215,0.275658
3.4,0.326816,0.23342,0.273097
3.5,0.328053,0.234722,0.270558
3.6,0.329167,0.236119,0.268048
3.7,0.330154,0.237608,0.265572
3.8,0.331012,0.239187,0.263134
3.9,0.331739,0.240854,0.260741
4,0.332331,0.242606,0.258397
4.1,0.332788,0.24444,0.256106
4.2,0.333107,0.246354,0.253873
4.3,0.333288,0.248343,0.251702
4.4,0.333331,0.250405,0.249598
4.5,0.333234,0.252535,0.247564
4.6,0.333,0.25473,0.245603
4.7,0.332627,0.256986,0.24372
4.8,0.332117,0.259298,0.241917
4.9,0.331473,0.261662,0.240198
5,0.330695,0.264073,0.238565
5.1,0.329787,0.266527,0.23702
5.2,0.32875,0.269017,0.235567
5.3,0.327588,0.271538,0.234207
5.4,0.326305,0.274086,0.232942
5.5,0.324905,0.276654,0.231774
5.6,0.32339,0.279237,0.230706
5.7,0.321767,0.281829,0.229737
5.8,0.32004,0.284422,0.228871
5.9,0.318213,0.287013,0.228108
6,0.316293,0.289593,0.227448
6.1,0.314284,0.292156,0.226893
6.2,0.312192,0.294697,0.226444
6.3,0.310024,0.297208,0.226101
6.4,0.307786,0.299683,0.225865
6.5,0.305482,0.302116,0.225735
6.6,0.303121,0.3045,0.225713
6.7,0.300708,0.306828,0.225797
6.8,0.29825,0.309094,0.225989
6.9,0.295753,0.311293,0.226287
7,0.293224,0.313417,0.226692
7.1,0.290669,0.315461,0.227203
7.2,0.288095,0.31742,0.227818
7.3,0.285509,0.319286,0.228538
7.4,0.282916,0.321056,0.229362
7.5,0.280322,0.322723,0.230288
7.6,0.277735,0.324284,0.231314
7.7,0.27516,0.325732,0.232441
7.8,0.272603,0.327065,0.233665
7.9,0.27007,0.328278,0.234985
8,0.267566,0.329368,0.2364
8.1,0.265097,0.33033,0.237906
8.2,0.262667,0.331163,0.239503
8.3,0.260283,0.331864,0.241187
8.4,0.257949,0.33243,0.242955
8.5,0.255669,0.33286,0.244805
8.6,0.253447,0.333153,0.246733
8.7,0.251289,0.333307,0.248737
8.8,0.249198,0.333323,0.250812
8.9,0.247178,0.3332,0.252955
9,0.245233,0.332938,0.255163
9.1,0.243365,0.332539,0.25743
9.2,0.241578,0.332003,0.259752
9.3,0.239875,0.331333,0.262126
9.4,0.238258,0.330529,0.264545
9.5,0.236731,0.329596,0.267006
9.6,0.235296,0.328535,0.269503
9.7,0.233954,0.327349,0.27203
9.8,0.232708,0.326043,0.274582
9.9,0.23156,0.32462,0.277154
10,0.23051,0.323084,0.279739
10.1,0.229562,0.321441,0.282331
10.2,0.228715,0.319694,0.284925
10.3,0.227972,0.317848,0.287513
10.4,0.227332,0.31591,0.290091
10.5,0.226798,0.313885,0.29265
10.6,0.226369,0.311778,0.295186
10.7,0.226047,0.309596,0.29769
10.8,0.225831,0.307344,0.300158
10.9,0.225722,0.305029,0.302582
11,0.225721,0.302658,0.304955
11.1,0.225826,0.300235,0.307272
11.2,0.226038,0.297769,0.309526
11.3,0.226357,0.295266,0.31171
11.4,0.226783,0.292731,0.31382
11.5,0.227314,0.290172,0.315848
11.6,0.22795,0.287595,0.317788
11.7,0.22869,0.285007,0.319637
11.8,0.229533,0.282413,0.321387
11.9,0.230479,0.279821,0.323034
12,0.231525,0.277235,0.324573
12.1,0.23267,0.274663,0.326
12.2,0.233913,0.272111,0.32731
12.3,0.235252,0.269582,0.328499
12.4,0.236684,0.267085,0.329564
12.5,0.238209,0.264623,0.330502
12.6,0.239822,0.262202,0.331309
12.7,0.241522,0.259827,0.331984
12.8,0.243307,0.257503,0.332524
12.9,0.245172,0.255234,0.332928
13,0.247115,0.253024,0.333194
13.1,0.249133,0.250879,0.333321
13.2,0.251222,0.248801,0.33331
13.3,0.253378,0.246796,0.33316
13.4,0.255597,0.244865,0.332872
13.5,0.257875,0.243012,0.332446
13.6,0.260208,0.241241,0.331884
13.7,0.262591,0.239555,0.331187
13.8,0.265019,0.237956,0.330359
13.9,0.267487,0.236446,0.3294
14,0.26999,0.235029,0.328315
14.1,0.272522,0.233705,0.327106
14.2,0.275079,0.232478,0.325777
14.3,0.277653,0.231349,0.324331
14.4,0.28024,0.230319,0.322774
14.5,0.282833,0.22939,0.32111
14.6,0.285426,0.228563,0.319344
14.7,0.288013,0.22784,0.31748
14.8,0.290588,0.227221,0.315525
